pmid	title	pubYear	authorString	firstAuthor	citedByCount	journalTitle	isOpenAccess	RetractedIn	minPubDate	minRetDate	monthsToRet
19794929	d-Psicose Inhibits Intestinal alpha-Glucosidase and Suppresses the Glycemic Response after Ingestion of Carbohydrates in Rats.	2009	Matsuo T, Izumori K.	Matsuo T	14	J Clin Biochem Nutr	Y	24895485	02-10-2009	05-06-2014	57
19815770	Reactome array: forging a link between metabolome and genome.	2009	Beloqui A, Guazzaroni ME, Pazos F, Vieites JM, Godoy M, Golyshina OV, Chernikova TN, Waliczek A, Silva-Rocha R, Al-Ramahi Y, La Cono V, Mendez C, Salas JA, Solano R, Yakimov MM, Timmis KN, Golyshin PN, Ferrer M.	Beloqui A	14	Science		21071648	10-10-2009	13-11-2010	13
19837064	PEDF prevents reactive oxygen species generation and retinal endothelial cell damage at high glucose levels.	2010	Banumathi E, Sheikpranbabu S, Haribalaganesh R, Gurunathan S.	Banumathi E	14	Exp Eye Res		22351952	20-10-2009	22-02-2012	29
19929443	Cigarette-smoke-induced oxidative/nitrosative stress impairs VEGF- and fluid-shear-stress-mediated signaling in endothelial cells.	2010	Edirisinghe I, Arunachalam G, Wong C, Yao H, Rahman A, Phipps RP, Jin ZG, Rahman I.	Edirisinghe I	14	Antioxid Redox Signal	N	23259579	26-11-2009	25-12-2012	38
20038548	FAK mediates the activation of cardiac fibroblasts induced by mechanical stress through regulation of the mTOR complex.	2010	Dalla Costa AP, Clemente CF, Carvalho HF, Carvalheira JB, Nadruz W Jr, Franchini KG.	Dalla Costa AP	14	Cardiovasc Res		25349144	30-12-2009	29-10-2014	59
20069325	Unicompartmental knee arthroplasty: a review of literature.	2010	Saccomanni B.	Saccomanni B.	14	Clin Rheumatol		21120561	14-01-2010	02-12-2010	11
20097195	Intracellular distribution of p300 and its differential recruitment to aggresomes in breast cancer.	2010	Fermento ME, Gandini NA, Lang CA, Perez JE, Maturi HV, Curino AC, Facchinetti MM.	Fermento ME	14	Exp Mol Pathol		23616987	26-01-2010	26-04-2013	40
20864537	Hsp90 interaction with INrf2(Keap1) mediates stress-induced Nrf2 activation.	2010	Niture SK, Jaiswal AK.	Niture SK	14	J Biol Chem	N	24748677	25-09-2010	22-04-2014	44
22032948	The visual word form area is organized according to orthography.	2012	Braet W, Wagemans J, Op de Beeck HP.	Braet W	14	Neuroimage		24551890	29-10-2011	20-02-2014	28
22213737	Impaired type I and type III interferon induction and rhinovirus control in human cystic fibrosis airway epithelial cells.	2012	Vareille M, Kieninger E, Alves MP, Kopf BS, MÌ_ller A, Geiser T, Johnston SL, Edwards MR, Regamey N.	Vareille M	14	Thorax		24083316	04-01-2012	02-10-2013	21
23272116	Epithelial mesenchymal transition is required for acquisition of anoikis resistance and metastatic potential in adenoid cystic carcinoma.	2012	Jia J, Zhang W, Liu JY, Chen G, Liu H, Zhong HY, Liu B, Cai Y, Zhang JL, Zhao YF.	Jia J	14	PLoS One	Y	25208330	29-12-2012	11-09-2014	21
23572280	A common discrete resource for visual working memory and visual search.	2013	Anderson DE, Vogel EK, Awh E.	Anderson DE	14	Psychol Sci	N	26354959	11-04-2013	11-09-2015	29
785270	Enkephalin regulates the levels of cyclic nucleotides in neuroblastoma x glioma hybrid cells.	1976	Brandt M, Gullis RJ, Fischer K, Buchen C, Hamprecht B, MorÌ_der L, Wunsch E.	Brandt M	13	Nature		400964	22-07-1976	24-02-1977	7
326810	Glucagon and insulin binding to liver membranes in a partially nephrectomized uremic rat model.	1977	Soman V, Felig P.	Soman V	13	J Clin Invest	N	7002682	01-07-1977	01-08-1980	38
1669382	Laparoscopically assisted anterior rectal wall resection and reanastomosis for deeply infiltrating endometriosis.	1991	Nezhat C, Pennington E, Nezhat F, Silfen SL.	Nezhat C	13	Surg Laparosc Endosc		11440025	01-06-1991	07-07-2001	123
8513526	Contractility of fatigued diaphragm is improved by dobutamine.	1993	Fujii Y, Toyooka H, Ebata T, Amaha K.	Fujii Y	13	Can J Anaesth		23184635	01-05-1993	28-11-2012	238
7708759	Membrane permeabilization by Listeria monocytogenes phosphatidylinositol-specific phospholipase C is independent of phospholipid hydrolysis and cooperative with listeriolysin O.	1995	Goldfine H, Knob C, Alford D, Bentz J.	Goldfine H	13	Proc Natl Acad Sci U S A	N	9122270	28-03-1995	18-03-1997	24
7566165	Immunology. Ways around rejection.	1995	Vaux DL.	Vaux DL.	13	Nature		9687260	19-10-1995	01-08-1998	34
8955972	Granistron and dexamethasone provide more improved prevention of postoperative emesis than granisetron alone in children.	1996	Fujii Y, Tanaka H, Toyooka H.	Fujii Y	13	Can J Anaesth		23180064	01-12-1996	27-11-2012	195
9510328	Possible involvement of Escherichia coli 23S ribosomal RNA in peptide bond formation.	1998	Nitta I, Ueda T, Watanabe K.	Nitta I	13	RNA	N	10375260	24-03-1998	22-06-1999	15
9729529	Age-related changes in blood lymphocyte subsets of Saudi Arabian healthy children.	1998	Shahabuddin S, Al-Ayed I, Gad El-Rab MO, Qureshi MI.	Shahabuddin S	13	Clin Diagn Lab Immunol	N	11185541	08-09-1998	24-02-2001	30
10439770	Comparison of ramosetron and granisetron for preventing postoperative nausea and vomiting after gynecologic surgery.	1999	Fujii Y, Saitoh Y, Tanaka H, Toyooka H.	Fujii Y	13	Anesth Analg		23439828	10-08-1999	27-02-2013	165
10999902	Outcome of pregnancy in diabetic women in northeast England and in Norway, 1994-7.	2000	Hawthorne G, Irgens LM, Lie RT.	Hawthorne G	13	BMJ	N	14596229	22-09-2000	05-11-2003	38
11123735	The efficacy of oral clonidine premedication in the prevention of postoperative vomiting in children following strabismus surgery.	2001	Handa F, Fujii Y.	Handa F	13	Paediatr Anaesth		23289126	21-12-2000	05-01-2013	147
11139111	Electroencephalogram bispectral index predicts hemodynamic and arousal reactions during induction of anesthesia in patients undergoing cardiac surgery.	2000	Heck M, Kumle B, Boldt J, Lang J, Lehmann A, Saggau W.	Heck M	13	J Cardiothorac Vasc Anesth		22013600	04-01-2001	21-10-2011	131
11179289	Induction of monocyte chemoattractant protein 1 by Helicobacter pylori involves NF-kappaB.	2001	Mori N, Ueda A, Geleziunas R, Wada A, Hirayama T, Yoshimura T, Yamamoto N.	Mori N	13	Infect Immun	N	21177932	17-02-2001	24-12-2010	120
11553641	The tamoxifen-responsive estrogen receptor alpha mutant D351Y shows reduced tamoxifen-dependent interaction with corepressor complexes.	2001	Yamamoto Y, Wada O, Suzawa M, Yogiashi Y, Yano T, Kato S, Yanagisawa J.	Yamamoto Y	13	J Biol Chem		24143012	13-09-2001	22-10-2013	147
11978302	ACOG practice bulletin. Diagnosis and treatment of cervical carcinomas, number 35, May 2002.	2002	Committee on Practice Bulletins-Gynecology.	Committee on Practice Bulletins-Gynecology.	13	Obstet Gynecol		22825107	30-04-2002	25-07-2012	125
12018841	9-polylysine protein transduction domain: enhanced penetration efficiency of superoxide dismutase into mammalian cells and skin.	2002	Park J, Ryu J, Jin LH, Bahn JH, Kim JA, Yoon CS, Kim DW, Han KH, Eum WS, Kwon HY, Kang TC, Won MH, Kang JH, Cho SW, Choi SY.	Park J	13	Mol Cells		20446345	23-05-2002	07-05-2010	97
12230798	Effects of n-3 fatty acids on cartilage metabolism.	2002	Curtis CL, Rees SG, Cramp J, Flannery CR, Hughes CE, Little CB, Williams R, Wilson C, Dent CM, Harwood JL, Caterson B.	Curtis CL	13	Proc Nutr Soc		17181911	17-09-2002	22-12-2006	52
12625310	Prevention of propofol-induced injection pain by remifentanil: a placebo-controlled comparison with lidocaine.	2003	Roehm KD, Piper SN, Maleck WH, Boldt J.	Roehm KD	13	Anaesthesia		21826810	11-03-2003	10-08-2011	102
12629129	Differential expression, regulation, and induction of Smads, transforming growth factor-beta signal transduction pathway in leiomyoma, and myometrial smooth muscle cells and alteration by gonadotropin-releasing hormone analog.	2003	Xu J, Luo X, Chegini N.	Xu J	13	J Clin Endocrinol Metab		25559533	12-03-2003	07-01-2015	144
12738814	Interaction of discoidin domain receptor 1 isoform b (DDR1b) with collagen activates p38 mitogen-activated protein kinase and promotes differentiation of macrophages.	2003	Matsuyama W, Kamohara H, Galligan C, Faure M, Yoshimura T.	Matsuyama W	13	FASEB J		19720626	10-05-2003	02-09-2009	77
12801955	Local delivery of adenoviral vectors encoding murine interleukin 10 induces colonic interleukin 10 production and is therapeutic for murine colitis.	2003	Lindsay JO, Ciesielski CJ, Scheinin T, Brennan FM, Hodgson HJ.	Lindsay JO	13	Gut	N	15082607	13-06-2003	15-04-2004	10
12899616	Molecular characterization of binding of calcium and carbohydrates by an early activation antigen of lymphocytes CD69.	2003	PavlÌ_cek J, Sopko B, Ettrich R, KopeckÌ_ V Jr, Baumruk V, Man P, HavlÌ_cek V, VrbackÌ_ M, MartÌ_nkovÌÁ L, Kren V, PospÌ_sil M, Bezouska K.	PavlÌ_cek J	13	Biochemistry		24325448	06-08-2003	12-12-2013	126
12944035	Peroxynitrite versus nitric oxide in early diabetes.	2003	Hoeldtke RD, Bryner KD, McNeill DR, Hobbs GR, Baylis C.	Hoeldtke RD	13	Am J Hypertens		19020510	29-08-2003	21-11-2008	64
12943767	7,8-Benzoflavone: a phytotoxin from root exudates of invasive Russian knapweed.	2003	Stermitz FR, Bais HP, Foderaro TA, Vivanco JM.	Stermitz FR	13	Phytochemistry		19330947	29-08-2003	31-03-2009	68
14623532	Neurological effects of aromatase deficiency in the mouse.	2003	Matsumoto T, Honda S, Harada N.	Matsumoto T	13	J Steroid Biochem Mol Biol		22250293	19-11-2003	18-01-2012	99
14768925	Comparative study of the antiemetic efficacy of ondansetron, propofol and midazolam in the early postoperative period.	2004	Unlugenc H, Guler T, Gunes Y, Isik G.	Unlugenc H	13	Eur J Anaesthesiol		23903560	11-02-2004	02-08-2013	115
15260988	Heritable integration of kDNA minicircle sequences from Trypanosoma cruzi into the avian genome: insights into human Chagas disease.	2004	Nitz N, Gomes C, de CÌÁssia Rosa A, D'Souza-Ault MR, Moreno F, Lauria-Pires L, Nascimento RJ, Teixeira AR.	Nitz N	13	Cell		16220614	21-07-2004	14-10-2005	15
15684500	Dietary supplementation of L-carnosine prevents ischemia/reperfusion-induced renal injury in rats.	2005	Fujii T, Takaoka M, Tsuruoka N, Kiso Y, Tanaka T, Matsumura Y.	Fujii T	13	Biol Pharm Bull		24882421	03-02-2005	03-06-2014	114
16239928	L25 functions as a conserved ribosomal docking site shared by nascent chain-associated complex and signal-recognition particle.	2006	Grallath S, Schwarz JP, BÌ_ttcher UM, Bracher A, Hartl FU, Siegers K.	Grallath S	13	EMBO Rep	N	17972903	22-10-2005	02-11-2007	25
16306613	SOCS1 and SOCS3 are targeted by hepatitis C virus core/gC1qR ligation to inhibit T-cell function.	2005	Yao ZQ, Waggoner SN, Cruise MW, Hall C, Xie X, Oldach DW, Hahn YS.	Yao ZQ	13	J Virol	N	16873288	25-11-2005	29-07-2006	8
16455819	Activation function-1 domain of estrogen receptor regulates the agonistic and antagonistic actions of tamoxifen.	2006	Glaros S, Atanaskova N, Zhao C, Skafar DF, Reddy KB.	Glaros S	13	Mol Endocrinol		18398955	04-02-2006	10-04-2008	27
16467873	Targeting gene-virotherapy of cancer.	2006	Liu XY, Gu JF.	Liu XY	13	Cell Res		16915293	10-02-2006	18-08-2006	6
16543683	Association of metabolic syndrome with white blood cell subtype and red blood cells.	2006	Kim JA, Choi YS, Hong JI, Kim SH, Jung HH, Kim SM.	Kim JA	13	Endocr J		17354293	18-03-2006	14-03-2007	12
16641293	Human rhinovirus attenuates the type I interferon response by disrupting activation of interferon regulatory factor 3.	2006	Peng T, Kotla S, Bumgarner RE, Gustin KE.	Peng T	13	J Virol	N	17496231	28-04-2006	15-05-2007	13
17182885	Oxidized low-density lipoproteins activate CD4+ T cell apoptosis in patients with end-stage renal disease through Fas engagement.	2007	Meier P, Spertini F, Blanc E, Burnier M.	Meier P	13	J Am Soc Nephrol		24459234	22-12-2006	25-01-2014	86
17188242	Siah-1 facilitates ubiquitination and degradation of factor inhibiting HIF-1alpha (FIH).	2007	Fukuba H, Yamashita H, Nagano Y, Jin HG, Hiji M, Ohtsuki T, Takahashi T, Kohriyama T, Matsumoto M.	Fukuba H	13	Biochem Biophys Res Commun		19777639	26-12-2006	25-09-2009	33
17278100	A modified version of galectin-9 suppresses cell growth and induces apoptosis of human T-cell leukemia virus type I-infected T-cell lines.	2007	Okudaira T, Hirashima M, Ishikawa C, Makishi S, Tomita M, Matsuda T, Kawakami H, Taira N, Ohshiro K, Masuda M, Takasu N, Mori N.	Okudaira T	13	Int J Cancer		21960263	06-02-2007	01-10-2011	57
17578978	Evaluating the analgesic efficacy of administering celecoxib as a component of multimodal analgesia for outpatient anterior cruciate ligament reconstruction surgery.	2007	Reuben SS, Ekman EF, Charron D.	Reuben SS	13	Anesth Analg		19299812	21-06-2007	21-03-2009	21
17724069	Helicobacter pylori induces CCL20 expression.	2007	Tomimori K, Uema E, Teruya H, Ishikawa C, Okudaira T, Senba M, Yamamoto K, Matsuyama T, Kinjo F, Fujita J, Mori N.	Tomimori K	13	Infect Immun	N	21177934	29-08-2007	24-12-2010	40
17909159	Reduced cardiac 123I-MIBG uptake reflects cardiac sympathetic dysfunction in Lewy body disease.	2007	Oka H, Yoshioka M, Morita M, Onouchi K, Suzuki M, Ito Y, Hirai T, Mochio S, Inoue K.	Oka H	13	Neurology		18591507	03-10-2007	02-07-2008	9
18058096	Immunotherapy of metastatic colorectal cancer with vitamin D-binding protein-derived macrophage-activating factor, GcMAF.	2008	Yamamoto N, Suyama H, Nakazato H, Yamamoto N, Koga Y.	Yamamoto N	13	Cancer Immunol Immunother		25297451	07-12-2007	10-10-2014	83
18165437	Antidiabetogenic effects of chromium mitigate hyperinsulinemia-induced cellular insulin resistance via correction of plasma membrane cholesterol imbalance.	2008	Horvath EM, Tackett L, McCarthy AM, Raman P, Brozinick JT, Elmendorf JS.	Horvath EM	13	Mol Endocrinol	N	20514688	01-01-2008	02-06-2010	29
18316554	Evaluation of colon cancer-specific antigen 2 as a potential serum marker for colorectal cancer.	2008	Leman ES, Schoen RE, Magheli A, Sokoll LJ, Chan DW, Getzenberg RH.	Leman ES	13	Clin Cancer Res		23271798	05-03-2008	29-12-2012	59
18349203	A prospective randomized trial on the role of perioperative celecoxib administration for total knee arthroplasty: improving clinical outcomes.	2008	Reuben SS, Buvenandran A, Katz B, Kroin JS.	Reuben SS	13	Anesth Analg		19299812	20-03-2008	21-03-2009	12
18633013	The influence of aprotinin and tranexamic acid on platelet function and postoperative blood loss in cardiac surgery.	2008	Mengistu AM, RÌ_hm KD, Boldt J, Mayer J, Suttner SW, Piper SN.	Mengistu AM	13	Anesth Analg		21451065	18-07-2008	01-04-2011	33
18692561	Molecular imprinting in sol-gel matrix.	2008	Gupta R, Kumar A.	Gupta R	13	Biotechnol Adv		20891034	12-08-2008	05-10-2010	26
18704087	Transient FTY720 treatment promotes immune-mediated clearance of a chronic viral infection.	2008	Premenko-Lanier M, Moseley NB, Pruett ST, Romagnoli PA, Altman JD.	Premenko-Lanier M	13	Nature		20376151	16-08-2008	09-04-2010	20
18776129	Activation of peroxisome proliferator-activated receptor beta/delta induces lung cancer growth via peroxisome proliferator-activated receptor coactivator gamma-1alpha.	2009	Han S, Ritzenthaler JD, Sun X, Zheng Y, Roman J.	Han S	13	Am J Respir Cell Mol Biol	N	22383655	09-09-2008	03-03-2012	42
19015639	Requirement for chromatin-remodeling complex in novel tumor suppressor HIC1-mediated transcriptional repression and growth control.	2009	Zhang B, Chambers KJ, Leprince D, Faller DV, Wang S.	Zhang B	13	Oncogene	N	22011759	19-11-2008	21-10-2011	36
19154523	Omega-3 fatty acids, vitamin C and Zn supplementation in asthmatic children: a randomized self-controlled study.	2009	Biltagi MA, Baset AA, Bassiouny M, Kasrawi MA, Attia M.	Biltagi MA	13	Acta Paediatr		22970440	22-01-2009	13-09-2012	44
19237581	Wnt-5a signaling restores tamoxifen sensitivity in estrogen receptor-negative breast cancer cells.	2009	Ford CE, EkstrÌ_m EJ, Andersson T.	Ford CE	13	Proc Natl Acad Sci U S A	N	21127265	25-02-2009	04-12-2010	22
20014020	Elevated IL-13Ralpha2 in intestinal epithelial cells from ulcerative colitis or colorectal cancer initiates MAPK pathway.	2010	Mandal D, Levine AD.	Mandal D	13	Inflamm Bowel Dis	N	26067717	17-12-2009	13-06-2015	67
20149903	Enhanced antiproliferative activity of carboplatin-loaded chitosan-alginate nanoparticles in a retinoblastoma cell line.	2010	Parveen S, Mitra M, Krishnakumar S, Sahoo SK.	Parveen S	13	Acta Biomater		23802318	13-02-2010	27-06-2013	41
20176361	Modelling subcortical bone in finite element analyses: A validation and sensitivity study in the macaque mandible.	2010	Panagiotopoulou O, Curtis N, O' Higgins P, Cobb SN.	Panagiotopoulou O	13	J Biomech		25977972	24-02-2010	16-05-2015	64
20205872	Role of senescence and mitotic catastrophe in cancer therapy.	2010	Singh R, George J, Shukla Y.	Singh R	13	Cell Div	Y	22587525	09-03-2010	17-05-2012	27
20414968	Intron-1 rs3761548 is related to the defective transcription of  Foxp3 in psoriasis through abrogating E47/c-Myb binding.	2010	Shen Z, Chen L, Hao F, Wang G, Liu Y.	Shen Z	13	J Cell Mol Med		20931702	24-04-2010	09-10-2010	6
20427276	Differential expression of intracellular and secreted osteopontin isoforms by murine macrophages in response to toll-like receptor agonists.	2010	Zhao W, Wang L, Zhang L, Yuan C, Kuo PC, Gao C.	Zhao W	13	J Biol Chem	N	26002950	30-04-2010	24-05-2015	62
20981485	Anti-inflammatory effects of chronic aspirin on brain arachidonic acid metabolites.	2011	Basselin M, Ramadan E, Chen M, Rapoport SI.	Basselin M	13	Neurochem Res	N	25911466	29-10-2010	26-04-2015	55
21925388	Cell adhesion-dependent control of microRNA decay.	2011	Kim YK, Yeo J, Ha M, Kim B, Kim VN.	Kim YK	13	Mol Cell		22934309	20-09-2011	31-08-2012	12
22052876	Maternal diesel inhalation increases airway hyperreactivity in ozone-exposed offspring.	2012	Auten RL, Gilmour MI, Krantz QT, Potts EN, Mason SN, Foster WM.	Auten RL	13	Am J Respir Cell Mol Biol	N	25830632	05-11-2011	02-04-2015	41
22174954	Small protein-mediated quorum sensing in a Gram-negative bacterium.	2011	Han SW, Sriariyanun M, Lee SW, Sharma M, Bahar O, Bower Z, Ronald PC.	Han SW	13	PLoS One	Y	24098628	17-12-2011	08-10-2013	22
22473610	Reactive oxygen species-triggered trophoblast apoptosis is initiated by endoplasmic reticulum stress via activation of caspase-12, CHOP, and the JNK pathway in Toxoplasma gondii infection in mice.	2012	Xu X, Liu T, Zhang A, Huo X, Luo Q, Chen Z, Yu L, Li Q, Liu L, Lun ZR, Shen J.	Xu X	13	Infect Immun	N	25784756	05-04-2012	19-03-2015	36
23049906	MiR-145 regulates epithelial to mesenchymal transition of breast cancer cells by targeting Oct4.	2012	Hu J, Guo H, Li H, Liu Y, Liu J, Chen L, Zhang J, Zhang N.	Hu J	13	PLoS One	Y	23853691	11-10-2012	16-07-2013	9
23406204	Intragastric exposure to titanium dioxide nanoparticles induced nephrotoxicity in mice, assessed by physiological and gene expression modifications.	2013	Gui S, Sang X, Zheng L, Ze Y, Zhao X, Sheng L, Sun Q, Cheng Z, Cheng J, Hu R, Wang L, Hong F, Tang M.	Gui S	13	Part Fibre Toxicol	Y	26169674	15-02-2013	15-07-2015	29
23743517	Childhood maltreatment and methylation of the glucocorticoid receptor gene NR3C1 in bipolar disorder.	2014	Perroud N, Dayer A, Piguet C, Nallet A, Favre S, Malafosse A, Aubry JM.	Perroud N	13	Br J Psychiatry		25252332	08-06-2013	25-09-2014	16
3822131	Orofacial motor control impairment in Parkinson's disease.	1987	Abbs JH, Hartman DE, Vishwanat B.	Abbs JH	12	Neurology		8927237	01-03-1987	01-08-1996	115
1689484	Amino acid variations at a single residue in an autoimmune peptide profoundly affect its properties: T-cell activation, major histocompatibility complex binding, and ability to block experimental allergic encephalomyelitis.	1990	Kumar V, Urban JL, Horvath SJ, Hood L.	Kumar V	12	Proc Natl Acad Sci U S A	N	1876607	01-02-1990	01-08-1991	18
2009973	Regulation of gene expression of macrophage-colony stimulating factor in human fibroblasts by the acute phase response mediators interleukin (IL)-1 beta, tumor necrosis factor-alpha and IL-6.	1991	Mantovani L, Henschler R, Brach MA, Mertelsmann RH, Herrmann F.	Mantovani L	12	FEBS Lett		9687235	11-03-1991	01-08-1998	90
1518423	Influence of endurance training on energy intake, norepinephrine kinetics, and metabolic rate in older individuals.	1992	Poehlman ET, Gardner AW, Goran MI.	Poehlman ET	12	Metabolism		16208844	01-09-1992	08-10-2005	160
1366018	Heparin binding site, conformational change, and activation of antithrombin.	1992	Evans DL, Marshall CJ, Christey PB, Carrell RW.	Evans DL	12	Biochemistry		7880842	22-12-1992	14-03-1995	27
7889590	Amrinone improves contractility of fatigued diaphragm in dogs.	1995	Fujii Y, Toyooka H, Amaha K.	Fujii Y	12	Can J Anaesth		23184630	01-01-1995	28-11-2012	218
7530764	Functional NF-IL6/CCAAT enhancer-binding protein is required for tumor necrosis factor alpha-inducible expression of the granulocyte colony-stimulating factor (CSF), but not the granulocyte/macrophage CSF or interleukin 6 gene in human fibroblasts.	1995	Kiehntopf M, Herrmann F, Brach MA.	Kiehntopf M	12	J Exp Med	Y	9244806	01-02-1995	07-07-1997	30
9369145	Radiation therapy for macular degeneration: technical considerations and preliminary results.	1997	Brady LW, Freire JE, Longton WA, Miyamoto CT, Augsburger JJ, Brown GC, Micaily B, Sagerman RH.	Brady LW	12	Int J Radiat Oncol Biol Phys		25304956	22-11-1997	12-10-2014	206
9426374	Changes in body mass index (BMI) and prevalence of obesity among Kuwaitis 1980-1994.	1997	al-Isa AN.	al-Isa AN.	12	Int J Obes Relat Metab Disord		9660638	14-01-1998	11-07-1998	6
9773135	Prevention of nausea and vomiting with granisetron, droperidol and metoclopramide during and after spinal anaesthesia for caesarean section: a randomized, double-blind, placebo-controlled trial.	1998	Fujii Y, Tanaka H, Toyooka H.	Fujii Y	12	Acta Anaesthesiol Scand		23599939	17-10-1998	20-04-2013	177
10972607	Comparison of two different anesthesia regimens in patients undergoing aortocoronary bypass grafting surgery: sufentanil-midazolam versus remifentanil-propofol.	2000	Lehmann A, Zeitler C, Thaler E, Isgro F, Boldt J.	Lehmann A	12	J Cardiothorac Vasc Anesth		22013600	06-09-2000	21-10-2011	135
11117735	Superconductivity at 52 K in hole-doped C60.	2000	SchÌ_n JH, Kloc C, Batlogg B.	SchÌ_n JH	12	Nature		12621442	16-12-2000	07-03-2003	27
11242074	Gate-induced superconductivity in a solution-processed organic polymer film.	2001	SchÌ_n JH, Dodabalapur A, Bao Z, Kloc C, Schenker O, Batlogg B.	SchÌ_n JH	12	Nature		12621441	10-03-2001	07-03-2003	24
11435477	The epithelial cellular adhesion molecule (Ep-CAM) is a ligand for the leukocyte-associated immunoglobulin-like receptor (LAIR).	2001	Meyaard L, van der Vuurst de Vries AR, de Ruiter T, Lanier LL, Phillips JH, Clevers H.	Meyaard L	12	J Exp Med	Y	14517276	04-07-2001	01-10-2003	27
11847107	IgG transcytosis and recycling by FcRn expressed in MDCK cells reveals ligand-induced redistribution.	2002	Ramalingam TS, Detmer SA, Martin WL, Bjorkman PJ.	Ramalingam TS	12	EMBO J	N	12411512	16-02-2002	02-11-2002	9
12198052	Bispectral index in patients with target-controlled or manually-controlled infusion of propofol.	2002	Lehmann A, Boldt J, Thaler E, Piper S, Weisse U.	Lehmann A	12	Anesth Analg		21451078	29-08-2002	01-04-2011	105
12381855	Prediction of the disulfide-bonding state of cysteines in proteins at 88% accuracy.	2002	Martelli PL, Fariselli P, Malaguti L, Casadio R.	Martelli PL	12	Protein Sci	N	15452953	17-10-2002	30-09-2004	24
12768462	Acamprosate and its efficacy in treating alcohol dependent adolescents.	2003	Niederhofer H, Staffen W.	Niederhofer H	12	Eur Child Adolesc Psychiatry		23129270	28-05-2003	07-11-2012	115
12819056	Helicobacter pylori induces RANTES through activation of NF-kappa B.	2003	Mori N, Krensky AM, Geleziunas R, Wada A, Hirayama T, Sasakawa C, Yamamoto N.	Mori N	12	Infect Immun	N	21177933	24-06-2003	24-12-2010	91
15269168	Dose dependency of Disp1 and genetic interaction between Disp1 and other hedgehog signaling components in the mouse.	2004	Tian H, Tenzen T, McMahon AP.	Tian H	12	Development		16314492	23-07-2004	30-11-2005	17
15608056	Vitamin C conjugates of genotoxic lipid peroxidation products: structural characterization and detection in human plasma.	2004	Sowell J, Frei B, Stevens JF.	Sowell J	12	Proc Natl Acad Sci U S A	N	17724333	21-12-2004	29-08-2007	33
15650163	Resistance to Apo2 ligand (Apo2L)/tumor necrosis factor-related apoptosis-inducing ligand (TRAIL)-mediated apoptosis and constitutive expression of Apo2L/TRAIL in human T-cell leukemia virus type 1-infected T-cell lines.	2005	Matsuda T, Almasan A, Tomita M, Uchihara JN, Masuda M, Ohshiro K, Takasu N, Yagita H, Ohta T, Mori N.	Matsuda T	12	J Virol	N	21228250	15-01-2005	14-01-2011	73
15713514	Aberrant methylation of Reprimo in lung cancer.	2005	Suzuki M, Shigematsu H, Takahashi T, Shivapurkar N, Sathyanarayana UG, Iizasa T, Fujisawa T, Gazdar AF.	Suzuki M	12	Lung Cancer		25152943	17-02-2005	26-08-2014	116
15725700	Nuclear receptors as targets for drug development: crosstalk between peroxisome proliferator-activated receptor gamma and cytokines in bone marrow-derived mesenchymal stem cells.	2005	Takada I, Suzawa M, Kato S.	Takada I	12	J Pharmacol Sci		24141368	24-02-2005	22-10-2013	105
16002281	Clinical use of aromatase inhibitors (AI) in premenopausal women.	2005	de Ziegler D, Mattenberger C, Luyet C, Romoscanu I, Irion NF, Bianchi-Demicheli F.	de Ziegler D	12	J Steroid Biochem Mol Biol		18688952	09-07-2005	09-08-2008	38
16103064	Mechanistic analysis of the role of BLCA-4 in bladder cancer pathobiology.	2005	Myers-Irvin JM, Van Le TS, Getzenberg RH.	Myers-Irvin JM	12	Cancer Res		24492705	17-08-2005	05-02-2014	103
16138565	Association of angiotensin converting enzyme gene polymorphisms with left ventricular hypertrophy.	2005	Saeed M, Saleheen D, Siddiqui S, Khan A, Butt ZA, Frossard PM.	Saeed M	12	Hypertens Res		19417759	06-09-2005	07-05-2009	45
16154993	Distinct role of calmodulin and calmodulin-dependent protein kinase-II in lipopolysaccharide and tumor necrosis factor-alpha-mediated suppression of apoptosis and antiapoptotic c-IAP2 gene expression in human monocytic cells.	2005	Mishra S, Mishra JP, Gee K, McManus DC, LaCasse EC, Kumar A.	Mishra S	12	J Biol Chem		22319781	13-09-2005	10-02-2012	78
16353936	Recent advances for the treatment of cocaine abuse: central nervous system immunopharmacotherapy.	2005	Dickerson TJ, Janda KD.	Dickerson TJ	12	AAPS J	N	22585345	16-12-2005	16-05-2012	78
16357560	Endocrine tumors of the pancreas.	2006	House MG, Schulick RD.	House MG	12	Curr Opin Oncol		16721138	17-12-2005	25-05-2006	5
16406483	A study of polycyclic aromatic hydrocarbons concentrations and source identifications by methods of diagnostic ratio and principal component analysis at Taichung chemical Harbor near Taiwan Strait.	2006	Fang GC, Wu YS, Chang CN, Ho TT.	Fang GC	12	Chemosphere		18770890	13-01-2006	05-09-2008	32
16424224	Suppression of discoidin domain receptor 1 by RNA interference attenuates lung inflammation.	2006	Matsuyama W, Watanabe M, Shirahama Y, Hirano R, Mitsuyama H, Higashimoto I, Osame M, Arimura K.	Matsuyama W	12	J Immunol		18941259	21-01-2006	23-10-2008	34
16478859	Increased serum vascular endothelial growth factor level in Churg-Strauss syndrome.	2006	Mitsuyama H, Matsuyama W, Iwakawa J, Higashimoto I, Watanabe M, Osame M, Arimura K.	Mitsuyama H	12	Chest		18938645	16-02-2006	22-10-2008	33
